Date;Tx;Tavg;RH_avg;ff_x;ff_avg
19-08-2021;28,5;23,4;72;7;2
20-08-2021;27,4;23,3;82;4;2
21-08-2021;28,8;24,2;78;6;2
22-08-2021;28,6;24,3;76;6;3
23-08-2021;29;22,8;74;5;2
24-08-2021;27,2;21,7;74;6;3
25-08-2021;27,8;23;77;6;4
26-08-2021;28,2;22,5;70;5;3
27-08-2021;27,8;21,8;74;7;3
28-08-2021;28,2;24;76;6;2
29-08-2021;28,2;23,4;80;6;3
30-08-2021;29,6;24,4;78;5;3
31-08-2021;31,2;25,2;70;5;2
01-09-2021;30;24,3;76;6;3
02-09-2021;28,6;23,2;75;6;3
03-09-2021;27,8;23,1;74;5;3
04-09-2021;27,4;22,9;79;7;3
05-09-2021;28,3;23,8;80;6;2
06-09-2021;29,8;23,9;74;7;3
07-09-2021;29,7;24,9;75;6;3
08-09-2021;29,5;24,9;71;6;4
09-09-2021;28,6;23,6;69;4;2
10-09-2021;30;23,8;75;4;2
11-09-2021;28,4;24,3;80;3;1
12-09-2021;28,3;23,8;85;6;2
13-09-2021;28,6;24,8;80;6;3
14-09-2021;29,3;23,8;82;8;3
15-09-2021;30;24,6;76;8;2
16-09-2021;30,4;25,1;78;5;3
17-09-2021;31,2;24,6;76;8;4
18-09-2021;30,2;24,5;78;5;3
19-09-2021;28,4;24;77;5;3
20-09-2021;28,4;23,9;78;4;2
21-09-2021;28,8;23,7;83;4;1
22-09-2021;29,8;24;76;6;3
23-09-2021;29,8;24,6;78;5;2
24-09-2021;29,2;24,9;69;6;3
25-09-2021;29,2;23,9;79;5;2
26-09-2021;29,9;24,4;81;5;2
27-09-2021;28,6;23,7;80;5;2
28-09-2021;28;23,3;79;4;2
29-09-2021;28,6;23,6;82;4;2
30-09-2021;28,6;24,1;80;4;2
01-10-2021;29,8;24,8;74;4;2
02-10-2021;30;24,4;74;4;2
03-10-2021;28;23,8;82;5;2
04-10-2021;26,4;23,4;81;3;2
05-10-2021;27,4;22,8;82;5;2
06-10-2021;25;21,8;87;4;2
07-10-2021;26,6;23,3;76;4;2
08-10-2021;29;24,2;72;3;2
09-10-2021;28,8;24,1;78;7;4
10-10-2021;29,9;24,8;76;6;3
11-10-2021;28,4;24,1;74;5;3
12-10-2021;31;24,9;71;6;3
13-10-2021;30,6;24,7;71;6;2
14-10-2021;31;25,4;73;5;2
15-10-2021;31,3;24,9;77;6;2
16-10-2021;31;25,6;76;5;3
17-10-2021;30,7;25,7;79;4;1
18-10-2021;31,5;26,4;72;6;3
19-10-2021;30,8;24,4;87;5;1
20-10-2021;29,6;25,8;75;5;2
21-10-2021;30,6;25,4;78;5;2
22-10-2021;30,6;26;76;5;2
23-10-2021;31,2;25,3;76;4;2
24-10-2021;30;24,6;82;5;2
25-10-2021;30;24,9;82;4;2
26-10-2021;28,8;24,3;83;4;2
27-10-2021;29;24,5;83;5;2
28-10-2021;29,6;23,5;86;4;2
29-10-2021;30,4;25,3;82;4;1
30-10-2021;28,2;24,2;86;4;2
31-10-2021;29,4;24,7;83;5;1
01-11-2021;29,3;23,7;86;4;1
02-11-2021;29,4;23,3;86;4;1
03-11-2021;29,4;25,1;78;5;2
04-11-2021;29,8;25,2;83;8;2
05-11-2021;29,2;25;80;8;3
06-11-2021;30,3;26,1;73;6;3
07-11-2021;30,5;26,4;74;6;2
08-11-2021;29,8;25,4;79;6;2
09-11-2021;31,4;25,8;78;5;1
10-11-2021;29;24,5;84;4;2
11-11-2021;28,1;23,7;85;3;1
12-11-2021;26,4;23,5;86;2;0
13-11-2021;28,9;24,2;86;4;1
14-11-2021;28;23;92;4;1
15-11-2021;27,4;23,5;88;3;1
16-11-2021;28,4;22,9;90;3;1
17-11-2021;28,7;23,9;83;4;2
18-11-2021;29,4;24,4;83;4;2
19-11-2021;30,1;24,6;77;4;2
20-11-2021;26,2;22,8;94;2;1
21-11-2021;28,2;24,3;84;3;1
22-11-2021;29;25,3;81;5;1
23-11-2021;29;25,3;80;2;1
